data_source_name,data_source_id,data_source_alive,report_name,report_token,report_url,space_name,query_name,last_run_at,days_since_last_run,owner,is_archived
EF_postgresql,18616,si,Unprocessed Problem Reports,2dd1c0995e44,https://app.mode.com/ecooltra706/reports/2dd1c0995e44,++ aSlack reports,4 or more,2023-02-07T09:10:40.025Z,1223,ecooltra706,no
EF_postgresql,18616,si,[ALL] Total Riders,e2b2232961dc,https://app.mode.com/ecooltra706/reports/e2b2232961dc,++ aSlack reports,Query 1,2021-11-30T18:00:44.528Z,1656,ecooltra706,no
EF_postgresql,18616,si,Original [ALL] MONTHLY REVENUE PROGRESS,acc34a989e58,https://app.mode.com/ecooltra706/reports/acc34a989e58,++ aSlack reports,Time information:,2022-12-20T13:17:12.521Z,1271,ecooltra706,no
EF_postgresql,18616,si,Original [ALL] MONTHLY REVENUE PROGRESS,acc34a989e58,https://app.mode.com/ecooltra706/reports/acc34a989e58,++ aSlack reports,All queries,2022-12-20T13:17:12.521Z,1271,ecooltra706,no
EF_postgresql,18616,si,Original [ALL] MONTHLY REVENUE PROGRESS,acc34a989e58,https://app.mode.com/ecooltra706/reports/acc34a989e58,++ aSlack reports,Last week,2022-12-20T13:17:12.521Z,1271,ecooltra706,no
EF_postgresql,18616,si,Original [ALL] MONTHLY REVENUE PROGRESS,acc34a989e58,https://app.mode.com/ecooltra706/reports/acc34a989e58,++ aSlack reports,Projections,2022-12-20T13:17:12.521Z,1271,ecooltra706,no
EF_postgresql,18616,si,RENTALS 0-3 MIN WITH BAD RATING,27fa94e8dfc3,https://app.mode.com/ecooltra706/reports/27fa94e8dfc3,++ aSlack reports,01 Data,2023-02-07T07:17:00.598Z,1223,ecooltra706,no
EF_postgresql,18616,si,Underaged: Activated+Approved,a1ac03e91693,https://app.mode.com/ecooltra706/reports/a1ac03e91693,++ aSlack reports,Activated+Approve,2022-10-10T16:19:19.623Z,1342,ecooltra706,no
EF_postgresql,18616,si,24h PACK TRACKING,71ebb084f472,https://app.mode.com/ecooltra706/reports/71ebb084f472,++ aSlack reports,Query 6,2023-02-07T08:17:04.765Z,1223,ecooltra706,no
EF_postgresql,18616,si,24h PACK TRACKING,71ebb084f472,https://app.mode.com/ecooltra706/reports/71ebb084f472,++ aSlack reports,Query 1,2023-02-07T08:17:04.765Z,1223,ecooltra706,no
EF_postgresql,18616,si,24h PACK TRACKING,71ebb084f472,https://app.mode.com/ecooltra706/reports/71ebb084f472,++ aSlack reports,Query 4,2023-02-07T08:17:04.765Z,1223,ecooltra706,no
EF_postgresql,18616,si,24h PACK TRACKING,71ebb084f472,https://app.mode.com/ecooltra706/reports/71ebb084f472,++ aSlack reports,Query 2,2023-02-07T08:17:04.765Z,1223,ecooltra706,no
EF_postgresql,18616,si,24h PACK TRACKING,71ebb084f472,https://app.mode.com/ecooltra706/reports/71ebb084f472,++ aSlack reports,Query 7,2023-02-07T08:17:04.765Z,1223,ecooltra706,no
EF_postgresql,18616,si,24h PACK TRACKING,71ebb084f472,https://app.mode.com/ecooltra706/reports/71ebb084f472,++ aSlack reports,Query 3,2023-02-07T08:17:04.765Z,1223,ecooltra706,no
EF_postgresql,18616,si,24h PACK TRACKING,71ebb084f472,https://app.mode.com/ecooltra706/reports/71ebb084f472,++ aSlack reports,Query 5,2023-02-07T08:17:04.765Z,1223,ecooltra706,no
EF_postgresql,18616,si,Incorrect DL: Activated+Approved,c1255f9c1c18,https://app.mode.com/ecooltra706/reports/c1255f9c1c18,++ aSlack reports,Users with incorrect DL,2022-10-11T06:16:51.827Z,1342,ecooltra706,no
EF_postgresql,18616,si,Incorrect DL: Activated+Approved,c1255f9c1c18,https://app.mode.com/ecooltra706/reports/c1255f9c1c18,++ aSlack reports,Query 3,2022-10-11T06:16:51.827Z,1342,ecooltra706,no
EF_postgresql,18616,si,Incorrect DL: Activated+Approved,c1255f9c1c18,https://app.mode.com/ecooltra706/reports/c1255f9c1c18,++ aSlack reports,Users with null DL,2022-10-11T06:16:51.827Z,1342,ecooltra706,no
EF_postgresql,18616,si,Unapproved users,1a956e7ca0ce,https://app.mode.com/ecooltra706/reports/1a956e7ca0ce,++ aSlack reports,Activations per operator in the last 24 hours,2022-10-11T06:22:55.615Z,1342,ecooltra706,no
EF_postgresql,18616,si,Unapproved users,1a956e7ca0ce,https://app.mode.com/ecooltra706/reports/1a956e7ca0ce,++ aSlack reports,Awaiting review,2022-10-11T06:22:55.615Z,1342,ecooltra706,no
EF_postgresql,18616,si,Unapproved users,1a956e7ca0ce,https://app.mode.com/ecooltra706/reports/1a956e7ca0ce,++ aSlack reports,Corrections requested,2022-10-11T06:22:55.615Z,1342,ecooltra706,no
EF_postgresql,18616,si,Unapproved users,1a956e7ca0ce,https://app.mode.com/ecooltra706/reports/1a956e7ca0ce,++ aSlack reports,Date of the last activated user,2022-10-11T06:22:55.615Z,1342,ecooltra706,no
EF_postgresql,18616,si,Unapproved users,1a956e7ca0ce,https://app.mode.com/ecooltra706/reports/1a956e7ca0ce,++ aSlack reports,Query 6,2022-10-11T06:22:55.615Z,1342,ecooltra706,no
EF_postgresql,18616,si,Unapproved users,1a956e7ca0ce,https://app.mode.com/ecooltra706/reports/1a956e7ca0ce,++ aSlack reports,Activations per operator in the last 24 hours,2022-10-11T06:22:55.615Z,1342,ecooltra706,no
EF_postgresql,18616,si,Unapproved users,1a956e7ca0ce,https://app.mode.com/ecooltra706/reports/1a956e7ca0ce,++ aSlack reports,Daily evolution of activations,2022-10-11T06:22:55.615Z,1342,ecooltra706,no
EF_postgresql,18616,si,Unprocessed invoices,8fdeebb49336,https://app.mode.com/ecooltra706/reports/8fdeebb49336,++ aSlack reports,Query 1,2021-10-22T08:20:11.689Z,1696,ecooltra706,no
EF_postgresql,18616,si,Problem reports closed in the last 24 hours,8b8a850c9b55,https://app.mode.com/ecooltra706/reports/8b8a850c9b55,++ aSlack reports,Problem reports still open 24 hours ago,2023-02-07T03:53:58.835Z,1223,ecooltra706,no
EF_postgresql,18616,si,Problem reports closed in the last 24 hours,8b8a850c9b55,https://app.mode.com/ecooltra706/reports/8b8a850c9b55,++ aSlack reports,Date of the last processed problem report,2023-02-07T03:53:58.835Z,1223,ecooltra706,no
EF_postgresql,18616,si,Problem reports closed in the last 24 hours,8b8a850c9b55,https://app.mode.com/ecooltra706/reports/8b8a850c9b55,++ aSlack reports,Query 8,2023-02-07T03:53:58.835Z,1223,ecooltra706,no
EF_postgresql,18616,si,Problem reports closed in the last 24 hours,8b8a850c9b55,https://app.mode.com/ecooltra706/reports/8b8a850c9b55,++ aSlack reports,Daily evolution of closed problem reports,2023-02-07T03:53:58.835Z,1223,ecooltra706,no
EF_postgresql,18616,si,Problem reports closed in the last 24 hours,8b8a850c9b55,https://app.mode.com/ecooltra706/reports/8b8a850c9b55,++ aSlack reports,Problem reports open in the last 24 hours,2023-02-07T03:53:58.835Z,1223,ecooltra706,no
EF_postgresql,18616,si,Problem reports closed in the last 24 hours,8b8a850c9b55,https://app.mode.com/ecooltra706/reports/8b8a850c9b55,++ aSlack reports,Last hour,2023-02-07T03:53:58.835Z,1223,ecooltra706,no
EF_postgresql,18616,si,Problem reports closed in the last 24 hours,8b8a850c9b55,https://app.mode.com/ecooltra706/reports/8b8a850c9b55,++ aSlack reports,Problem reports closed per operator in the last 24 hours,2023-02-07T03:53:58.835Z,1223,ecooltra706,no
EF_postgresql,18616,si,Problem reports closed in the last 24 hours,8b8a850c9b55,https://app.mode.com/ecooltra706/reports/8b8a850c9b55,++ aSlack reports,Problem Reports,2023-02-07T03:53:58.835Z,1223,ecooltra706,no
EF_postgresql,18616,si,Problem reports closed in the last 24 hours,8b8a850c9b55,https://app.mode.com/ecooltra706/reports/8b8a850c9b55,++ aSlack reports,Problem reports closed per operator in the last 24 hours,2023-02-07T03:53:58.835Z,1223,ecooltra706,no
EF_postgresql,18616,si,Yesterday rentals per city,0d998fcf3819,https://app.mode.com/ecooltra706/reports/0d998fcf3819,++ aSlack reports,Query 1,2023-02-07T07:18:28.040Z,1223,ecooltra706,no
EF_postgresql,18616,si,PACK Campaign - Total per Pack,b56b002ccfae,https://app.mode.com/ecooltra706/reports/b56b002ccfae,++ aSlack reports,PACK A,2019-09-12T11:22:50.694Z,2467,ecooltra706,no
EF_postgresql,18616,si,PACK Campaign - Total per Pack,b56b002ccfae,https://app.mode.com/ecooltra706/reports/b56b002ccfae,++ aSlack reports,PACK B,2019-09-12T11:22:50.694Z,2467,ecooltra706,no
EF_postgresql,18616,si,PACK Campaign - Total per Pack,b56b002ccfae,https://app.mode.com/ecooltra706/reports/b56b002ccfae,++ aSlack reports,PACK C,2019-09-12T11:22:50.694Z,2467,ecooltra706,no
EF_postgresql,18616,si,PACK Campaign - Total per Pack,b56b002ccfae,https://app.mode.com/ecooltra706/reports/b56b002ccfae,++ aSlack reports,ALL PACKS,2019-09-12T11:22:50.694Z,2467,ecooltra706,no
EF_postgresql,18616,si,PACK Campaign - Total per Pack,b56b002ccfae,https://app.mode.com/ecooltra706/reports/b56b002ccfae,++ aSlack reports,z-OTHER PACKS,2019-09-12T11:22:50.694Z,2467,ecooltra706,no
EF_postgresql,18616,si,Deleted credits,71d2b10f369c,https://app.mode.com/ecooltra706/reports/71d2b10f369c,++ aSlack reports,Detailed credits deleted per operator,2021-05-13T12:06:23.503Z,1857,ecooltra706,no
EF_postgresql,18616,si,Deleted credits,71d2b10f369c,https://app.mode.com/ecooltra706/reports/71d2b10f369c,++ aSlack reports,Today,2021-05-13T12:06:23.503Z,1857,ecooltra706,no
EF_postgresql,18616,si,Deleted credits,71d2b10f369c,https://app.mode.com/ecooltra706/reports/71d2b10f369c,++ aSlack reports,Credits deleted per operator,2021-05-13T12:06:23.503Z,1857,ecooltra706,no
EF_postgresql,18616,si,Deleted credits,71d2b10f369c,https://app.mode.com/ecooltra706/reports/71d2b10f369c,++ aSlack reports,z_params,2021-05-13T12:06:23.503Z,1857,ecooltra706,no
EF_postgresql,18616,si,Total Registrations,1fbe89904682,https://app.mode.com/ecooltra706/reports/1fbe89904682,++ aSlack reports,01: Total Registrations,2020-11-30T17:22:01.116Z,2021,ecooltra706,no
EF_postgresql,18616,si,Total Registrations,1fbe89904682,https://app.mode.com/ecooltra706/reports/1fbe89904682,++ aSlack reports,Last Registration Started at:,2020-11-30T17:22:01.116Z,2021,ecooltra706,no
EF_postgresql,18616,si,MODE Sync Control,9285d75a41ad,https://app.mode.com/ecooltra706/reports/9285d75a41ad,++ aSlack reports,4: Credits,2023-02-06T23:21:09.384Z,1223,ecooltra706,no
EF_postgresql,18616,si,MODE Sync Control,9285d75a41ad,https://app.mode.com/ecooltra706/reports/9285d75a41ad,++ aSlack reports,2: Rentals,2023-02-06T23:21:09.384Z,1223,ecooltra706,no
EF_postgresql,18616,si,MODE Sync Control,9285d75a41ad,https://app.mode.com/ecooltra706/reports/9285d75a41ad,++ aSlack reports,3: Invoices,2023-02-06T23:21:09.384Z,1223,ecooltra706,no
EF_postgresql,18616,si,MODE Sync Control,9285d75a41ad,https://app.mode.com/ecooltra706/reports/9285d75a41ad,++ aSlack reports,1: Registrations,2023-02-06T23:21:09.384Z,1223,ecooltra706,no
EF_postgresql,18616,si,MODE Sync Control,9285d75a41ad,https://app.mode.com/ecooltra706/reports/9285d75a41ad,++ aSlack reports,7: Filtered Rentals,2023-02-06T23:21:09.384Z,1223,ecooltra706,no
EF_postgresql,18616,si,MODE Sync Control,9285d75a41ad,https://app.mode.com/ecooltra706/reports/9285d75a41ad,++ aSlack reports,5: Charges,2023-02-06T23:21:09.384Z,1223,ecooltra706,no
EF_postgresql,18616,si,MODE Sync Control,9285d75a41ad,https://app.mode.com/ecooltra706/reports/9285d75a41ad,++ aSlack reports,6: Swaps,2023-02-06T23:21:09.384Z,1223,ecooltra706,no
Snowflake,41462,si,Felyx operationality,ba6f280b969d,https://app.mode.com/ecooltra706/reports/ba6f280b969d,++ aSlack reports,Query 2,2026-06-14T11:07:49.996Z,0,ecooltra706,no
Snowflake,41462,si,Felyx operationality,ba6f280b969d,https://app.mode.com/ecooltra706/reports/ba6f280b969d,++ aSlack reports,Data,2026-06-14T11:07:49.996Z,0,ecooltra706,no
Snowflake,41462,si,Felyx operationality,ba6f280b969d,https://app.mode.com/ecooltra706/reports/ba6f280b969d,++ aSlack reports,Query 3,2026-06-14T11:07:49.996Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ROMA,77e961233650,https://app.mode.com/ecooltra706/reports/77e961233650,++ aSlack reports,Last week,2026-06-13T22:04:00.420Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ROMA,77e961233650,https://app.mode.com/ecooltra706/reports/77e961233650,++ aSlack reports,Time information:,2026-06-13T22:04:00.420Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ROMA,77e961233650,https://app.mode.com/ecooltra706/reports/77e961233650,++ aSlack reports,01.a All queries - Total,2026-06-13T22:04:00.420Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - MILAN,48929fef7fc1,https://app.mode.com/ecooltra706/reports/48929fef7fc1,++ aSlack reports,Time information:,2026-06-13T22:04:06.602Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - MILAN,48929fef7fc1,https://app.mode.com/ecooltra706/reports/48929fef7fc1,++ aSlack reports,01.a All queries - Total,2026-06-13T22:04:06.602Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - MILAN,48929fef7fc1,https://app.mode.com/ecooltra706/reports/48929fef7fc1,++ aSlack reports,Last week,2026-06-13T22:04:06.602Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - TORINO,2dc466069ad7,https://app.mode.com/ecooltra706/reports/2dc466069ad7,++ aSlack reports,Time information:,2026-06-13T22:04:02.210Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - TORINO,2dc466069ad7,https://app.mode.com/ecooltra706/reports/2dc466069ad7,++ aSlack reports,01.a All queries - Total,2026-06-13T22:04:02.210Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - TORINO,2dc466069ad7,https://app.mode.com/ecooltra706/reports/2dc466069ad7,++ aSlack reports,Last week,2026-06-13T22:04:02.210Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ITALY,db489bfe3eeb,https://app.mode.com/ecooltra706/reports/db489bfe3eeb,++ aSlack reports,Time information:,2026-06-14T10:05:57.430Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ITALY,db489bfe3eeb,https://app.mode.com/ecooltra706/reports/db489bfe3eeb,++ aSlack reports,Last week,2026-06-14T10:05:57.430Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ITALY,db489bfe3eeb,https://app.mode.com/ecooltra706/reports/db489bfe3eeb,++ aSlack reports,01.a All queries - Total,2026-06-14T10:05:57.430Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Felyx,6e9fa8b6d453,https://app.mode.com/ecooltra706/reports/6e9fa8b6d453,++ aSlack reports,Time information:,2026-06-14T10:04:59.729Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Felyx,6e9fa8b6d453,https://app.mode.com/ecooltra706/reports/6e9fa8b6d453,++ aSlack reports,01.a All queries - Total,2026-06-14T10:04:59.729Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Felyx,6e9fa8b6d453,https://app.mode.com/ecooltra706/reports/6e9fa8b6d453,++ aSlack reports,Last week,2026-06-14T10:04:59.729Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas,b2253448d1ba,https://app.mode.com/ecooltra706/reports/b2253448d1ba,++ aSlack reports,Time information:,2026-06-14T10:05:02.582Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas,b2253448d1ba,https://app.mode.com/ecooltra706/reports/b2253448d1ba,++ aSlack reports,01.a All queries - Total,2026-06-14T10:05:02.582Z,0,ecooltra706,no
Snowflake,41462,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas,b2253448d1ba,https://app.mode.com/ecooltra706/reports/b2253448d1ba,++ aSlack reports,Last week,2026-06-14T10:05:02.582Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ROMA,77e961233650,https://app.mode.com/ecooltra706/reports/77e961233650,++ aSlack reports,z definition,2026-06-13T22:04:00.420Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ROMA,77e961233650,https://app.mode.com/ecooltra706/reports/77e961233650,++ aSlack reports,01.b All queries - Internal,2026-06-13T22:04:00.420Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ROMA,77e961233650,https://app.mode.com/ecooltra706/reports/77e961233650,++ aSlack reports,01.c All queries - Others,2026-06-13T22:04:00.420Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - MILAN,48929fef7fc1,https://app.mode.com/ecooltra706/reports/48929fef7fc1,++ aSlack reports,01.b All queries - Internal,2026-06-13T22:04:06.602Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - MILAN,48929fef7fc1,https://app.mode.com/ecooltra706/reports/48929fef7fc1,++ aSlack reports,z definition,2026-06-13T22:04:06.602Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - MILAN,48929fef7fc1,https://app.mode.com/ecooltra706/reports/48929fef7fc1,++ aSlack reports,01.c All queries - Others,2026-06-13T22:04:06.602Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - TORINO,2dc466069ad7,https://app.mode.com/ecooltra706/reports/2dc466069ad7,++ aSlack reports,01.c All queries - Others,2026-06-13T22:04:02.210Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - TORINO,2dc466069ad7,https://app.mode.com/ecooltra706/reports/2dc466069ad7,++ aSlack reports,01.b All queries - Internal,2026-06-13T22:04:02.210Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - TORINO,2dc466069ad7,https://app.mode.com/ecooltra706/reports/2dc466069ad7,++ aSlack reports,z definition,2026-06-13T22:04:02.210Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ITALY,db489bfe3eeb,https://app.mode.com/ecooltra706/reports/db489bfe3eeb,++ aSlack reports,01.b All queries - Internal,2026-06-14T10:05:57.430Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ITALY,db489bfe3eeb,https://app.mode.com/ecooltra706/reports/db489bfe3eeb,++ aSlack reports,z definition,2026-06-14T10:05:57.430Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas - ITALY,db489bfe3eeb,https://app.mode.com/ecooltra706/reports/db489bfe3eeb,++ aSlack reports,01.c All queries - Others,2026-06-14T10:05:57.430Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Felyx,6e9fa8b6d453,https://app.mode.com/ecooltra706/reports/6e9fa8b6d453,++ aSlack reports,01.c All queries - Others,2026-06-14T10:04:59.729Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Felyx,6e9fa8b6d453,https://app.mode.com/ecooltra706/reports/6e9fa8b6d453,++ aSlack reports,z definition,2026-06-14T10:04:59.729Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Felyx,6e9fa8b6d453,https://app.mode.com/ecooltra706/reports/6e9fa8b6d453,++ aSlack reports,01.b All queries - Internal,2026-06-14T10:04:59.729Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas,b2253448d1ba,https://app.mode.com/ecooltra706/reports/b2253448d1ba,++ aSlack reports,z definition,2026-06-14T10:05:02.582Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas,b2253448d1ba,https://app.mode.com/ecooltra706/reports/b2253448d1ba,++ aSlack reports,01.c All queries - Others,2026-06-14T10:05:02.582Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ALL] MONTHLY REVENUE PROGRESS - Cooltra & Maas,b2253448d1ba,https://app.mode.com/ecooltra706/reports/b2253448d1ba,++ aSlack reports,01.b All queries - Internal,2026-06-14T10:05:02.582Z,0,ecooltra706,no
ZEUS - PRO,40151,si,[ZEUS] Vehicles with 3+ Unprocessed Problem Reports,17578107ad6b,https://app.mode.com/ecooltra706/reports/17578107ad6b,++ aSlack reports,01 3 UNPROCESSED PROBLEM REPORTS,2024-11-04T03:27:10.710Z,587,ecooltra706,no
