report_name,space_name,report_url,days_since_last_run,purity,data_sources,has_from_definition,reasons
Approved Users with Missing Data,Exports,https://app.mode.com/editor/ecooltra706/reports/d11a77acad27,2294,pure,EF_postgresql,no,antic_+2anys
[COHORT] Monthly Retention (PG) without BCN - Retention bonus,Cohorts,https://app.mode.com/editor/ecooltra706/reports/38df2228f1a9,2291,pure,EF_postgresql,no,antic_+2anys
Checkout Success Rate,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/8b14b594df1f,2285,pure,EF_postgresql,no,antic_+2anys
,Personal,https://app.mode.com/editor/ecooltra706/reports/c95e65d585d7,2275,pure,Invers_datawarehouse,no,antic_+2anys
Lisbon data,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/5668f7a68648,2211,pure,EF_postgresql,no,antic_+2anys
OB-BACKUP Definitions,+ ORIOL - OB investigacions,https://app.mode.com/editor/ecooltra706/reports/5cdc5f386ca1,2149,pure,from definition,si,nomes_from_definition|antic_+2anys
OB-Estudi de taules a nivell quantitats de registres - privat,+ ORIOL - OB investigacions,https://app.mode.com/editor/ecooltra706/reports/9e2a797503a9,2120,pure,from definition,si,nomes_from_definition|antic_+2anys
OPS - KMs dels rentals,DATA,https://app.mode.com/editor/ecooltra706/reports/686525108d4d,2075,pure,EF_postgresql,no,antic_+2anys
24h Online Bookings tracking,++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/ed2dacdf3196,2058,pure,from definition,si,nomes_from_definition|antic_+2anys
NIGHT RIDERS,Data Science,https://app.mode.com/editor/ecooltra706/reports/833a7f5711f6,2049,pure,EF_postgresql,no,antic_+2anys
Clone of App opens issue analysis,Data Science,https://app.mode.com/editor/ecooltra706/reports/70c33195e281,2049,pure,EF_postgresql,no,antic_+2anys
DURATION,Data Science,https://app.mode.com/editor/ecooltra706/reports/28ed2c0b16db,2041,pure,EF_postgresql,no,antic_+2anys
Mobile App Opens,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/b46add53cd6c,2032,pure,EF_postgresql,no,antic_+2anys
HEAVY USERS RENTALS BEFORE AND POST COVID-19,Data Science,https://app.mode.com/editor/ecooltra706/reports/e6ca3b307bf2,2029,pure,EF_postgresql,no,antic_+2anys
USER AGENT,Data Science,https://app.mode.com/editor/ecooltra706/reports/029c3b20e532,2026,pure,EF_postgresql,no,antic_+2anys
Total Registrations,++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/1fbe89904682,2021,pure,EF_postgresql,no,antic_+2anys
Invoices Export per company,2-ORIOL Procés tancament mensual,https://app.mode.com/editor/ecooltra706/reports/18cdca7700b7,2021,pure,EF_postgresql,no,antic_+2anys
Users without Duplicates,Exports,https://app.mode.com/editor/ecooltra706/reports/9e85e33e69eb,2021,pure,EF_postgresql,no,antic_+2anys
RENTED MIN PER USER,Data Science,https://app.mode.com/editor/ecooltra706/reports/e6f765121933,2020,pure,EF_postgresql,no,antic_+2anys
Clone of BLACK FRIDAY,Data Science,https://app.mode.com/editor/ecooltra706/reports/132742b6768f,2018,pure,EF_postgresql,no,antic_+2anys
[Nat] Users with app version 4.0,Data Science,https://app.mode.com/editor/ecooltra706/reports/2d95a0b31b17,2012,pure,EF_postgresql,no,antic_+2anys
LISBOA30 - Flat rate analysis,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/8c99e4b75b0b,2007,pure,EF_postgresql,no,antic_+2anys
[Roberto] Card declined,Data Science,https://app.mode.com/editor/ecooltra706/reports/afca90a0639e,2007,mixed,EF_Gecco; EF_PRIME; EF_postgresql,no,antic_+2anys
"[CS] Gecco active ""TARIFA PLANA 39"" subscriptions",Data Science,https://app.mode.com/editor/ecooltra706/reports/06398f2861b6,2007,pure,EF_Gecco,no,antic_+2anys
Retention: Registration ID from a list,Data Science,https://app.mode.com/editor/ecooltra706/reports/e0cd45317b2a,2006,pure,EF_postgresql,no,antic_+2anys
REPORT AS ROMA,Data Science,https://app.mode.com/editor/ecooltra706/reports/0e02d04cc0a7,2003,pure,EF_postgresql,no,antic_+2anys
DATI COMUNE MILANO – OFFICIAL,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/2d10fcab1d99,2000,pure,EF_postgresql,no,antic_+2anys
POTENTIAL 125cc USERS IN MADRID,Data Science,https://app.mode.com/editor/ecooltra706/reports/4c76fb08491b,1994,mixed,EF_Gecco; EF_postgresql,no,antic_+2anys
Clone of _IMAGIN_ promocode report,Data Science,https://app.mode.com/editor/ecooltra706/reports/06f718d9c4f6,1978,pure,EF_postgresql,no,antic_+2anys
DIRT Motos,Data Science,https://app.mode.com/editor/ecooltra706/reports/669eac9ad170,1978,pure,EF_postgresql,no,antic_+2anys
RENTALPASS,Data Science,https://app.mode.com/editor/ecooltra706/reports/94c817f1287e,1958,pure,EF_postgresql,no,antic_+2anys
[OB] Contratos activos LT,Data Science,https://app.mode.com/editor/ecooltra706/reports/d8b1e99135b0,1948,pure,from definition,si,nomes_from_definition|antic_+2anys
Riders únicos en ciudades españolas en febrero 2021,Personal,https://app.mode.com/editor/ecooltra706/reports/625b81cef4e7,1930,pure,EF_postgresql,no,antic_+2anys
Monthly progress of Minutes,Deprecated reports,https://app.mode.com/editor/ecooltra706/reports/a0d89e6c42df,1927,pure,EF_postgresql,no,antic_+2anys
Datos de usuarios - Cierre de zona Bovisa - Milan,Data Science,https://app.mode.com/editor/ecooltra706/reports/b44ca95a328a,1915,pure,EF_postgresql,no,antic_+2anys
[Retention] Last week's revenue from a list uf users,Data Science,https://app.mode.com/editor/ecooltra706/reports/75a62b767c25,1910,pure,EF_postgresql,no,antic_+2anys
Clone of [FLUCTUO] Market Analysis,Personal,https://app.mode.com/editor/ecooltra706/reports/f60e30bf0cee,1908,pure,Fluctuo_datawarehouse,no,antic_+2anys
OB_B2CLT_activos,Data Science,https://app.mode.com/editor/ecooltra706/reports/fa6832663951,1907,pure,from definition,si,nomes_from_definition|antic_+2anys
Specific Retention Campaigns using credit_title or promo_code,Cohorts,https://app.mode.com/editor/ecooltra706/reports/d6cdc57fb25d,1906,pure,EF_postgresql,no,antic_+2anys
[GROUP] Monthly Revenue Progress (old version),Data Science,https://app.mode.com/editor/ecooltra706/reports/7c18e1523485,1904,mixed,EF_postgresql; from definition,si,antic_+2anys
Cálculo% retención mensual y por trimestres,Data Science,https://app.mode.com/editor/ecooltra706/reports/86cf2162d7d9,1903,pure,EF_postgresql,no,antic_+2anys
Clone of Monthly P&L per Business Line (Ebidta before HQ),Personal,https://app.mode.com/editor/ecooltra706/reports/b493e5e705af,1895,pure,from definition,si,nomes_from_definition|antic_+2anys
INFO: Respuesta Ayt. Valencia APR Ciutat Vella Nord,Data Science,https://app.mode.com/editor/ecooltra706/reports/a0b275f4f2fc,1887,mixed,EF_postgresql; from definition,si,antic_+2anys
Deleted credits,++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/71d2b10f369c,1858,pure,EF_postgresql,no,antic_+2anys
Weekend users,Data Science,https://app.mode.com/editor/ecooltra706/reports/d6247ee0df58,1840,pure,EF_postgresql,no,antic_+2anys
[COHORT] Average Net Rental Revenue per returning rider (PG),Cohorts,https://app.mode.com/editor/ecooltra706/reports/4e76fe6e83d7,1812,pure,EF_postgresql,no,antic_+2anys
[COHORT] Average Net Rental Revenue per User Total Cohort (PG),Cohorts,https://app.mode.com/editor/ecooltra706/reports/415026f01e59,1812,pure,EF_postgresql,no,antic_+2anys
[COHORT] Monthly Average Rentals by Returning Riders (PG),Cohorts,https://app.mode.com/editor/ecooltra706/reports/8bd4b475c651,1812,pure,EF_postgresql,no,antic_+2anys
[COHORT] Monthly Average Rentals by Total Cohort (PG),Cohorts,https://app.mode.com/editor/ecooltra706/reports/d62631e43c62,1812,pure,EF_postgresql,no,antic_+2anys
[COHORT] Monthly Total Rentals (PG),Cohorts,https://app.mode.com/editor/ecooltra706/reports/94d88b2b3e7e,1812,pure,EF_postgresql,no,antic_+2anys
[COHORT] Net Rental Revenue Total (PG),Cohorts,https://app.mode.com/editor/ecooltra706/reports/401320be395b,1812,pure,EF_postgresql,no,antic_+2anys
[COHORT] Monthly Retention of Packers,Cohorts,https://app.mode.com/editor/ecooltra706/reports/880afce8c646,1812,pure,EF_postgresql,no,antic_+2anys
Users con contry_code = FR,Personal,https://app.mode.com/editor/ecooltra706/reports/796ea93f00c0,1812,pure,EF_postgresql,no,antic_+2anys
Unprocessed Problem Reports (Cooltra Prime),++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/db03fc70ac61,1804,pure,EF_PRIME,no,antic_+2anys
LISBOA30 - Control Report,++ CS team,https://app.mode.com/editor/ecooltra706/reports/ac5cf03781b8,1802,pure,EF_postgresql_backup,no,antic_+2anys|usa_EF_postgresql_backup
Users_Paris,Data Science,https://app.mode.com/editor/ecooltra706/reports/748fc3f201ed,1794,pure,EF_postgresql,no,antic_+2anys
Unapproved users (Cooltra Prime),++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/1bab33225223,1793,pure,EF_PRIME,no,antic_+2anys
,Personal,https://app.mode.com/editor/ecooltra706/reports/456980e00f2b,1791,pure,EF_postgresql,no,antic_+2anys
Find users with rentals in areas,Data Science,https://app.mode.com/editor/ecooltra706/reports/dedc8e3bfd15,1789,mixed,EF_PRIME; EF_postgresql,no,antic_+2anys
Volumen de usuarios inactivos,Data Science,https://app.mode.com/editor/ecooltra706/reports/f846cce9ce10,1747,pure,EF_postgresql,no,antic_+2anys
Rentals in L'H,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/36f25c14637b,1733,pure,EF_postgresql,no,antic_+2anys
Promo Code Misuse,1-Coses meves,https://app.mode.com/editor/ecooltra706/reports/c52833136b5d,1732,pure,EF_postgresql,no,antic_+2anys
INVOICING PROCESS HOURLY FOLLOW UP,Deprecated reports,https://app.mode.com/editor/ecooltra706/reports/3240c0bed540,1718,pure,EF_postgresql,no,antic_+2anys
Proves amb PENDING TO BE INVOICED,Personal,https://app.mode.com/editor/ecooltra706/reports/fa019e3b9c47,1714,pure,EF_postgresql,no,antic_+2anys
Usage per age and gender,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/b3e95e76c7b7,1712,pure,EF_postgresql,no,antic_+2anys
App opens and rentals analysis in an area,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/e4f8ef5377a2,1712,pure,EF_postgresql,no,antic_+2anys
B2C Revenue by categories,Personal,https://app.mode.com/editor/ecooltra706/reports/abdd68fd790d,1699,pure,from definition,si,nomes_from_definition|antic_+2anys
Unprocessed invoices,++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/8fdeebb49336,1696,pure,EF_postgresql,no,antic_+2anys
,Personal,https://app.mode.com/editor/ecooltra706/reports/97fcb95f0639,1696,pure,EF_postgresql,no,antic_+2anys
Info para unpaid en Lisboa en octubre 2021,DATA,https://app.mode.com/editor/ecooltra706/reports/a5c407fa0a6b,1683,pure,EF_postgresql,no,antic_+2anys
Hypothesis validation for Lisbon fleet,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/3106fc512bd1,1682,pure,EF_postgresql,no,antic_+2anys
Rebranded vehicles,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/5251cd7b2601,1679,pure,EF_postgresql,no,antic_+2anys
Pruebas para detectar vehículos con vehicle_kind_name = null,DATA,https://app.mode.com/editor/ecooltra706/reports/7c6048a94054,1679,pure,EF_postgresql,no,antic_+2anys
[ALL] Total Riders,++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/e2b2232961dc,1656,pure,EF_postgresql,no,antic_+2anys
Report ecológico,Data Science,https://app.mode.com/editor/ecooltra706/reports/6907543e21de,1627,pure,EF_postgresql,no,antic_+2anys
Proves Home Alone,Personal,https://app.mode.com/editor/ecooltra706/reports/d39ad97ff2e1,1601,pure,EF_postgresql,no,antic_+2anys
Pricing ABC test,Personal,https://app.mode.com/editor/ecooltra706/reports/0ffb07c0b8e4,1598,mixed,EF_postgresql; from definition,si,antic_+2anys
CODICE SCONTO promocode report,Personal,https://app.mode.com/editor/ecooltra706/reports/78a4ed39e006,1594,mixed,EF_postgresql; from definition,si,antic_+2anys
Gender Bias,Personal,https://app.mode.com/editor/ecooltra706/reports/bd5c8d93db86,1588,pure,EF_postgresql,no,antic_+2anys
test_cities_0222,Personal,https://app.mode.com/editor/ecooltra706/reports/77062abfe47d,1586,pure,EF_postgresql,no,antic_+2anys
Club employes promocode report,Personal,https://app.mode.com/editor/ecooltra706/reports/f9f45928757a,1586,pure,EF_postgresql,no,antic_+2anys
,Personal,https://app.mode.com/editor/ecooltra706/reports/38d14993074f,1584,pure,EF_postgresql,no,antic_+2anys
Practica 10-11 febrer,Personal,https://app.mode.com/editor/ecooltra706/reports/01a8e45e8daa,1581,pure,EF_postgresql,no,antic_+2anys
[MKT] Pricing ABC test,Deprecated reports,https://app.mode.com/editor/ecooltra706/reports/a2060cc994b1,1579,pure,EF_postgresql,no,antic_+2anys
Clone of [MKT] Pricing ABC test - 2022,Personal,https://app.mode.com/editor/ecooltra706/reports/9c4c51f98dd1,1579,pure,EF_postgresql,no,antic_+2anys
Single User Queries,Personal,https://app.mode.com/editor/ecooltra706/reports/05a693df10a9,1579,pure,EF_postgresql,no,antic_+2anys
Testers & Versions 4.6,Personal,https://app.mode.com/editor/ecooltra706/reports/aecebcc1ca26,1577,pure,EF_postgresql,no,antic_+2anys
Paris unique users,Personal,https://app.mode.com/editor/ecooltra706/reports/27668e2be88e,1577,pure,EF_postgresql,no,antic_+2anys
[ALL IN ONE] User Verification Query,++ CS team,https://app.mode.com/editor/ecooltra706/reports/6f352d4cb98c,1575,mixed,EF_Gecco; EF_PRIME; EF_postgresql,no,antic_+2anys
Practica datetime/string,Personal,https://app.mode.com/editor/ecooltra706/reports/8cc2d48286e9,1573,pure,EF_postgresql,no,antic_+2anys
[COHORT] Monthly Retention (PG),Cohorts,https://app.mode.com/editor/ecooltra706/reports/46ac17436da7,1563,pure,EF_postgresql,no,antic_+2anys
Clone of [OFFICIAL] ACTIVATIONS REPORT,Personal,https://app.mode.com/editor/ecooltra706/reports/fc7462372f3c,1556,mixed,EF_postgresql; from definition,si,antic_+2anys
Data Analyst - Sergi,Personal,https://app.mode.com/editor/ecooltra706/reports/f07912f83994,1556,pure,EF_postgresql,no,antic_+2anys
Barcelona Regulation (SCOOTERS with QR),++ City Managers,https://app.mode.com/editor/ecooltra706/reports/e32c5ad53742,1553,pure,EF_postgresql,no,antic_+2anys
,Personal,https://app.mode.com/editor/ecooltra706/reports/f5a6b2abaf68,1550,pure,EF_postgresql,no,antic_+2anys
COOLTRA15CPC promocode report,Personal,https://app.mode.com/editor/ecooltra706/reports/f66e2675ca3b,1530,pure,EF_postgresql,no,antic_+2anys
[Firebase] Events,DATA,https://app.mode.com/editor/ecooltra706/reports/3fb32b48c8f2,1514,mixed,App_FirebaseEvents; EF_postgresql,no,antic_+2anys
Onboarding Fabio,Personal,https://app.mode.com/editor/ecooltra706/reports/953cbb639603,1514,mixed,App_FirebaseEvents; EF_postgresql; Fluctuo_datawarehouse,no,antic_+2anys
Ratings per OS,IT,https://app.mode.com/editor/ecooltra706/reports/1516e7b02f9d,1500,pure,EF_postgresql,no,antic_+2anys
[COHORT] Inverted Monthly Retention,Cohorts,https://app.mode.com/editor/ecooltra706/reports/271d06357ec4,1496,pure,EF_postgresql,no,antic_+2anys
MONTHLY FUNNEL,Personal,https://app.mode.com/editor/ecooltra706/reports/628b0ee29e38,1494,pure,EF_postgresql,no,antic_+2anys
Data of Turin scooter sharing from w1 to w19 in 2022,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/3434e8f17ecd,1482,pure,Fluctuo_datawarehouse,no,antic_+2anys
[GROUP] YTD Revenue per Region (with BBPP and Forecast),Deprecated reports,https://app.mode.com/editor/ecooltra706/reports/f3f7f755e63a,1444,mixed,EF_postgresql; from definition,si,antic_+2anys
[ZEUS] MONTHLY DAMAGE REPORTS PER OPERATOR,[ZEUS] HQ Customer Service,https://app.mode.com/editor/ecooltra706/reports/48462118dbc0,1440,pure,ZEUS - PRO,no,antic_+2anys
Datos para IESE,DATA,https://app.mode.com/editor/ecooltra706/reports/7f85c3993da4,1424,pure,EF_postgresql,no,antic_+2anys
"Revenue per week, day of week and city",++ City Managers,https://app.mode.com/editor/ecooltra706/reports/85093e7abcaa,1416,pure,EF_postgresql,no,antic_+2anys
Ghost rentals,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/94b90cfff6d5,1374,pure,EF_postgresql,no,antic_+2anys
Datos para PPTs corporativas,Deprecated reports,https://app.mode.com/editor/ecooltra706/reports/7165d8690cf5,1360,mixed,EF_postgresql; from definition,si,antic_+2anys
Clone of [SWA/SINGLE] Swapping analysis,Personal,https://app.mode.com/editor/ecooltra706/reports/99c54fbdc761,1360,pure,EF_postgresql,no,antic_+2anys
[B2C] Report clientes deudores Sharing PROCESO JUDICIAL,Data Science,https://app.mode.com/editor/ecooltra706/reports/dc365c42ac7f,1346,pure,EF_postgresql,no,antic_+2anys
Underaged: Activated+Approved,++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/a1ac03e91693,1342,mixed,EF_Gecco; EF_postgresql,no,antic_+2anys
Incorrect DL: Activated+Approved,++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/c1255f9c1c18,1342,mixed,EF_Gecco; EF_postgresql,no,antic_+2anys
Unapproved users,++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/1a956e7ca0ce,1342,mixed,EF_Gecco; EF_postgresql,no,antic_+2anys
Infractores BCN 2022-01-09,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/28ffeeec972a,1339,pure,EF_postgresql,no,antic_+2anys
Clone of Datos para Policía de Valencia,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/00e36d54f533,1339,pure,EF_postgresql,no,antic_+2anys
Portugal ST and LT revenues,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/2e481914888f,1317,pure,from definition,si,nomes_from_definition|antic_+2anys
Clone of [Fluctuo] City Matrix Data,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/262f332925ea,1314,pure,Fluctuo_datawarehouse,no,antic_+2anys
[ZEUS] Work shifts,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/e76e7adcd105,1308,pure,from definition,si,nomes_from_definition|antic_+2anys
Paris task control (FW Jumper),[ZEUS] City Managers,https://app.mode.com/editor/ecooltra706/reports/a377a407f556,1307,pure,ZEUS - PRO,no,antic_+2anys
Clone of Contratos y reservas,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/6f65ece8bb4b,1305,pure,from definition,si,nomes_from_definition|antic_+2anys
Clone of Análisis de usuarios,DATA,https://app.mode.com/editor/ecooltra706/reports/e3e08504402b,1305,mixed,EF_postgresql; from definition,si,antic_+2anys
[Fluctuo] Prediction of rentals in 2023 in all cities,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/b02662a37fea,1304,mixed,EF_postgresql; Fluctuo_datawarehouse,no,antic_+2anys
Clone of Riders por rango de edad y ciudades,DATA,https://app.mode.com/editor/ecooltra706/reports/47500bcf1d9b,1304,mixed,EF_postgresql; from definition,si,antic_+2anys
"Lisbon rentals, vehicles and riders data",++ City Managers,https://app.mode.com/editor/ecooltra706/reports/b7dff062e000,1300,pure,EF_postgresql,no,antic_+2anys
Proves...,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/a2bf9a60903b,1300,mixed,EF_postgresql; from definition,si,antic_+2anys
Current location of bikes,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/ef8de8d3e701,1299,pure,from definition,si,nomes_from_definition|antic_+2anys
OB-Online Bookings,OB,https://app.mode.com/editor/ecooltra706/reports/883ec6ca0fd5,1291,mixed,ETENDO PRO Replica lectura; from definition,si,antic_+2anys
5 DAY PLAN,OB,https://app.mode.com/editor/ecooltra706/reports/ee581c5a4ad6,1291,pure,ETENDO PRO Replica lectura,no,antic_+2anys
[OB] Control Report,OB,https://app.mode.com/editor/ecooltra706/reports/ed8686daabc3,1291,mixed,ETENDO PRO Replica lectura; from definition,si,antic_+2anys
[OB] AUTOMATIZADO DE CLIENTES PENDIENTES DE COBRO,OB,https://app.mode.com/editor/ecooltra706/reports/e9ba6f1255f1,1291,pure,ETENDO PRO Replica lectura,no,antic_+2anys
[GROUP] YTD Revenue Progress,OB,https://app.mode.com/editor/ecooltra706/reports/ffce1c93cf39,1291,mixed,EF_postgresql; ETENDO PRO Replica lectura; from definition,si,antic_+2anys
[GROUP] Monthly Revenue per Region (BBPP & Forecast),OB,https://app.mode.com/editor/ecooltra706/reports/b4b347c47f06,1291,mixed,EF_postgresql; ETENDO PRO Replica lectura; from definition,si,antic_+2anys
[GROUP] YTD Revenue Progress (with BBPP and Forecast),OB,https://app.mode.com/editor/ecooltra706/reports/6c31ca33c9a6,1291,mixed,EF_postgresql; ETENDO PRO Replica lectura; from definition,si,antic_+2anys
[GROUP] Monthly Revenue per Region,OB,https://app.mode.com/editor/ecooltra706/reports/588075736482,1291,mixed,EF_postgresql; ETENDO PRO Replica lectura; from definition,si,antic_+2anys
[GROUP] YTD Revenue per Region,OB,https://app.mode.com/editor/ecooltra706/reports/d86565f7704b,1291,mixed,EF_postgresql; ETENDO PRO Replica lectura; from definition,si,antic_+2anys
[GROUP] Monthly Revenue Progress,OB,https://app.mode.com/editor/ecooltra706/reports/9a054f43dce4,1291,mixed,EF_postgresql; ETENDO PRO Replica lectura; from definition,si,antic_+2anys
YTD Revenue per Region (with BBPP and Forecast),OB,https://app.mode.com/editor/ecooltra706/reports/876f62d0d276,1291,mixed,EF_postgresql; ETENDO PRO Replica lectura,no,antic_+2anys
[OB ] EXPORT VEHÍCULOS,OB,https://app.mode.com/editor/ecooltra706/reports/8b49610d977d,1291,pure,ETENDO PRO Replica lectura,no,antic_+2anys
[OB] OPS: Plantillas de Mantenimiento por líneas,OB,https://app.mode.com/editor/ecooltra706/reports/0a9d520e0393,1291,mixed,ETENDO PRO Replica lectura; from definition,si,antic_+2anys
[OB] Datos de Openbravo (contratos/reservas),OB,https://app.mode.com/editor/ecooltra706/reports/3d6652bce81b,1291,mixed,ETENDO PRO Replica lectura; from definition,si,antic_+2anys
User domains,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/b7ca853806e0,1290,pure,EF_postgresql,no,antic_+2anys
Scooter Servicing State,Exports,https://app.mode.com/editor/ecooltra706/reports/2c8872eafc49,1283,pure,EF_postgresql,no,antic_+2anys
ZEUS tables,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/63b0c1e754fa,1278,mixed,EF_postgresql; from definition,si,antic_+2anys
ZIP Code analysis Paris,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/eb520067286f,1277,pure,EF_postgresql,no,antic_+2anys
Clone of Selligent,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/ed737bb82447,1275,mixed,EF_postgresql; from definition,si,antic_+2anys
Original [ALL] MONTHLY REVENUE PROGRESS,++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/acc34a989e58,1271,pure,EF_postgresql,no,antic_+2anys
,Backup Lluís,https://app.mode.com/editor/ecooltra706/reports/c3897400147b,1270,pure,EF_postgresql,no,antic_+2anys
[OLD] [ZEUS][SWA/SINGLE] Swapping analysis,[ZEUS] City Managers,https://app.mode.com/editor/ecooltra706/reports/95649457f5e5,1269,pure,ZEUS - PRO,no,antic_+2anys
CS (Listado de rentals para un usuario),[ZEUS] HQ Customer Service,https://app.mode.com/editor/ecooltra706/reports/47ee827b9bb5,1269,pure,ZEUS - PRO,no,antic_+2anys
