report_name,report_token,report_url,space_name,owner,creator,last_run_at,days_since_last_run,is_archived,query_count,data_source_count,purity,pure_source,data_sources,has_dead_source
Lisbon rentals matrix of zip codes,299919d56258,https://app.mode.com/editor/ecooltra706/reports/299919d56258,++ City Managers,ecooltra706,lluiscarreras,2019-12-02T14:36:28.057Z,2385,no,6,1,pure,EF_postgresql,EF_postgresql,no
Monthly progress of Unique Riders,640e5db3a5a7,https://app.mode.com/editor/ecooltra706/reports/640e5db3a5a7,Deprecated reports,ecooltra706,lluiscarreras,2019-12-09T08:16:27.999Z,2379,no,8,1,pure,EF_postgresql,EF_postgresql,no
Lisbon users per age range and gender,7b93702f79f1,https://app.mode.com/editor/ecooltra706/reports/7b93702f79f1,++ City Managers,ecooltra706,lluiscarreras,2020-02-03T14:28:12.215Z,2322,no,2,1,pure,EF_postgresql,EF_postgresql,no
Swapping KPIs,5a9f5808f86c,https://app.mode.com/editor/ecooltra706/reports/5a9f5808f86c,DATA,ecooltra706,lluiscarreras,2020-02-07T12:30:26.896Z,2319,no,22,1,pure,EF_postgresql,EF_postgresql,no
MONTHLY CSV EXPORT FOR RONAN,a4b15b27846a,https://app.mode.com/editor/ecooltra706/reports/a4b15b27846a,2-ORIOL Procés tancament mensual,ecooltra706,lluiscarreras,2020-02-07T16:19:37.796Z,2318,no,3,1,pure,EF_postgresql,EF_postgresql,no
Workshop KPIs,627d9bf3ba80,https://app.mode.com/editor/ecooltra706/reports/627d9bf3ba80,DATA,ecooltra706,lluiscarreras,2020-02-12T09:43:47.749Z,2314,no,24,1,pure,EF_postgresql,EF_postgresql,no
Monthly Retention for dormants,aa3e9899eb30,https://app.mode.com/editor/ecooltra706/reports/aa3e9899eb30,Cohorts,ecooltra706,lluiscarreras,2020-02-13T09:25:47.380Z,2313,no,3,1,pure,EF_postgresql,EF_postgresql,no
Main KPIs,d5aa02326edd,https://app.mode.com/editor/ecooltra706/reports/d5aa02326edd,DATA,ecooltra706,lluiscarreras,2020-03-03T10:04:15.545Z,2294,no,9,1,pure,EF_postgresql,EF_postgresql,no
Approved Users with Missing Data,d11a77acad27,https://app.mode.com/editor/ecooltra706/reports/d11a77acad27,Exports,ecooltra706,lluiscarreras,2020-03-02T14:38:53.722Z,2294,no,2,1,pure,EF_postgresql,EF_postgresql,no
[COHORT] Monthly Retention (PG) without BCN - Retention bonus,38df2228f1a9,https://app.mode.com/editor/ecooltra706/reports/38df2228f1a9,Cohorts,ecooltra706,lluiscarreras,2020-03-05T16:09:28.754Z,2291,no,2,1,pure,EF_postgresql,EF_postgresql,no
Checkout Success Rate,8b14b594df1f,https://app.mode.com/editor/ecooltra706/reports/8b14b594df1f,++ City Managers,ecooltra706,omarimon,2020-03-12T10:42:50.435Z,2285,no,4,1,pure,EF_postgresql,EF_postgresql,no
,c95e65d585d7,https://app.mode.com/editor/ecooltra706/reports/c95e65d585d7,Personal,ecooltra706,modehq,2020-03-21T19:51:19.524Z,2275,no,1,1,pure,Invers_datawarehouse,Invers_datawarehouse,no
Lisbon data,5668f7a68648,https://app.mode.com/editor/ecooltra706/reports/5668f7a68648,++ City Managers,ecooltra706,lluiscarreras,2020-05-25T09:56:40.444Z,2211,no,20,1,pure,EF_postgresql,EF_postgresql,no
OB-BACKUP Definitions,5cdc5f386ca1,https://app.mode.com/editor/ecooltra706/reports/5cdc5f386ca1,+ ORIOL - OB investigacions,ecooltra706,omarimon,2020-07-26T10:55:06.075Z,2149,no,10,1,pure,from definition,from definition,si
OB-Estudi de taules a nivell quantitats de registres - privat,9e2a797503a9,https://app.mode.com/editor/ecooltra706/reports/9e2a797503a9,+ ORIOL - OB investigacions,ecooltra706,omarimon,2020-08-24T08:22:56.093Z,2120,no,20,1,pure,from definition,from definition,si
OPS - KMs dels rentals,686525108d4d,https://app.mode.com/editor/ecooltra706/reports/686525108d4d,DATA,ecooltra706,lluiscarreras,2020-10-08T10:45:19.491Z,2075,no,6,1,pure,EF_postgresql,EF_postgresql,no
24h Online Bookings tracking,ed2dacdf3196,https://app.mode.com/editor/ecooltra706/reports/ed2dacdf3196,++ aSlack reports,ecooltra706,lluiscarreras,2020-10-24T14:11:33.251Z,2058,no,2,1,pure,from definition,from definition,si
NIGHT RIDERS,833a7f5711f6,https://app.mode.com/editor/ecooltra706/reports/833a7f5711f6,Data Science,ecooltra706,kseniya,2020-11-03T10:12:19.626Z,2049,no,1,1,pure,EF_postgresql,EF_postgresql,no
Clone of App opens issue analysis,70c33195e281,https://app.mode.com/editor/ecooltra706/reports/70c33195e281,Data Science,ecooltra706,lluiscarreras,2020-11-03T09:35:14.025Z,2049,no,10,1,pure,EF_postgresql,EF_postgresql,no
DURATION,28ed2c0b16db,https://app.mode.com/editor/ecooltra706/reports/28ed2c0b16db,Data Science,ecooltra706,kseniya,2020-11-11T11:11:11.319Z,2041,no,2,1,pure,EF_postgresql,EF_postgresql,no
Mobile App Opens,b46add53cd6c,https://app.mode.com/editor/ecooltra706/reports/b46add53cd6c,++ City Managers,ecooltra706,lluiscarreras,2020-11-19T22:26:46.074Z,2032,no,3,1,pure,EF_postgresql,EF_postgresql,no
HEAVY USERS RENTALS BEFORE AND POST COVID-19,e6ca3b307bf2,https://app.mode.com/editor/ecooltra706/reports/e6ca3b307bf2,Data Science,ecooltra706,kseniya,2020-11-23T10:18:27.647Z,2029,no,5,1,pure,EF_postgresql,EF_postgresql,no
USER AGENT,029c3b20e532,https://app.mode.com/editor/ecooltra706/reports/029c3b20e532,Data Science,ecooltra706,kseniya,2020-11-26T08:25:31.881Z,2026,no,3,1,pure,EF_postgresql,EF_postgresql,no
Total Registrations,1fbe89904682,https://app.mode.com/editor/ecooltra706/reports/1fbe89904682,++ aSlack reports,ecooltra706,omarimon,2020-11-30T17:22:01.116Z,2021,no,2,1,pure,EF_postgresql,EF_postgresql,no
Invoices Export per company,18cdca7700b7,https://app.mode.com/editor/ecooltra706/reports/18cdca7700b7,2-ORIOL Procés tancament mensual,ecooltra706,omarimon,2020-12-01T04:02:13.430Z,2021,no,6,1,pure,EF_postgresql,EF_postgresql,no
Users without Duplicates,9e85e33e69eb,https://app.mode.com/editor/ecooltra706/reports/9e85e33e69eb,Exports,ecooltra706,lluiscarreras,2020-12-01T08:07:21.702Z,2021,no,2,1,pure,EF_postgresql,EF_postgresql,no
RENTED MIN PER USER,e6f765121933,https://app.mode.com/editor/ecooltra706/reports/e6f765121933,Data Science,ecooltra706,kseniya,2020-12-01T13:36:14.494Z,2020,no,1,1,pure,EF_postgresql,EF_postgresql,no
Clone of BLACK FRIDAY,132742b6768f,https://app.mode.com/editor/ecooltra706/reports/132742b6768f,Data Science,ecooltra706,lluiscarreras,2020-12-04T12:12:32.341Z,2018,no,15,1,pure,EF_postgresql,EF_postgresql,no
[Nat] Users with app version 4.0,2d95a0b31b17,https://app.mode.com/editor/ecooltra706/reports/2d95a0b31b17,Data Science,ecooltra706,lluiscarreras,2020-12-10T10:07:37.396Z,2012,no,6,1,pure,EF_postgresql,EF_postgresql,no
LISBOA30 - Flat rate analysis,8c99e4b75b0b,https://app.mode.com/editor/ecooltra706/reports/8c99e4b75b0b,++ City Managers,ecooltra706,omarimon,2020-12-14T14:36:42.139Z,2007,no,11,1,pure,EF_postgresql,EF_postgresql,no
[Roberto] Card declined,afca90a0639e,https://app.mode.com/editor/ecooltra706/reports/afca90a0639e,Data Science,ecooltra706,lluiscarreras,2020-12-15T12:32:15.030Z,2007,no,5,3,mixed,,EF_Gecco; EF_PRIME; EF_postgresql,no
"[CS] Gecco active ""TARIFA PLANA 39"" subscriptions",06398f2861b6,https://app.mode.com/editor/ecooltra706/reports/06398f2861b6,Data Science,ecooltra706,lluiscarreras,2020-12-15T12:21:04.456Z,2007,no,1,1,pure,EF_Gecco,EF_Gecco,no
Retention: Registration ID from a list,e0cd45317b2a,https://app.mode.com/editor/ecooltra706/reports/e0cd45317b2a,Data Science,ecooltra706,lluiscarreras,2020-12-15T16:40:51.343Z,2006,no,2,1,pure,EF_postgresql,EF_postgresql,no
REPORT AS ROMA,0e02d04cc0a7,https://app.mode.com/editor/ecooltra706/reports/0e02d04cc0a7,Data Science,ecooltra706,kseniya,2020-12-18T13:20:16.047Z,2003,no,2,1,pure,EF_postgresql,EF_postgresql,no
DATI COMUNE MILANO – OFFICIAL,2d10fcab1d99,https://app.mode.com/editor/ecooltra706/reports/2d10fcab1d99,++ City Managers,ecooltra706,lluiscarreras,2020-12-21T13:00:31.515Z,2000,no,4,1,pure,EF_postgresql,EF_postgresql,no
POTENTIAL 125cc USERS IN MADRID,4c76fb08491b,https://app.mode.com/editor/ecooltra706/reports/4c76fb08491b,Data Science,ecooltra706,kseniya,2020-12-28T12:28:08.087Z,1994,no,5,2,mixed,,EF_Gecco; EF_postgresql,no
Clone of _IMAGIN_ promocode report,06f718d9c4f6,https://app.mode.com/editor/ecooltra706/reports/06f718d9c4f6,Data Science,ecooltra706,kseniya,2021-01-12T15:48:49.798Z,1978,no,14,1,pure,EF_postgresql,EF_postgresql,no
DIRT Motos,669eac9ad170,https://app.mode.com/editor/ecooltra706/reports/669eac9ad170,Data Science,ecooltra706,kseniya,2021-01-13T11:22:04.708Z,1978,no,2,1,pure,EF_postgresql,EF_postgresql,no
RENTALPASS,94c817f1287e,https://app.mode.com/editor/ecooltra706/reports/94c817f1287e,Data Science,ecooltra706,kseniya,2021-02-01T14:36:12.176Z,1958,no,4,1,pure,EF_postgresql,EF_postgresql,no
[OB] Contratos activos LT,d8b1e99135b0,https://app.mode.com/editor/ecooltra706/reports/d8b1e99135b0,Data Science,ecooltra706,lluiscarreras,2021-02-11T18:05:31.839Z,1948,no,4,1,pure,from definition,from definition,si
Riders únicos en ciudades españolas en febrero 2021,625b81cef4e7,https://app.mode.com/editor/ecooltra706/reports/625b81cef4e7,Personal,ecooltra706,lluiscarreras,2021-03-02T11:43:21.016Z,1930,no,1,1,pure,EF_postgresql,EF_postgresql,no
Monthly progress of Minutes,a0d89e6c42df,https://app.mode.com/editor/ecooltra706/reports/a0d89e6c42df,Deprecated reports,ecooltra706,lluiscarreras,2021-03-04T13:58:48.667Z,1927,no,8,1,pure,EF_postgresql,EF_postgresql,no
Datos de usuarios - Cierre de zona Bovisa - Milan,b44ca95a328a,https://app.mode.com/editor/ecooltra706/reports/b44ca95a328a,Data Science,ecooltra706,lluiscarreras,2021-03-17T10:50:39.006Z,1915,no,2,1,pure,EF_postgresql,EF_postgresql,no
[Retention] Last week's revenue from a list uf users,75a62b767c25,https://app.mode.com/editor/ecooltra706/reports/75a62b767c25,Data Science,ecooltra706,lluiscarreras,2021-03-22T08:58:10.765Z,1910,no,2,1,pure,EF_postgresql,EF_postgresql,no
Clone of [FLUCTUO] Market Analysis,f60e30bf0cee,https://app.mode.com/editor/ecooltra706/reports/f60e30bf0cee,Personal,ecooltra706,lluiscarreras,2021-03-23T13:42:18.876Z,1908,no,3,1,pure,Fluctuo_datawarehouse,Fluctuo_datawarehouse,no
OB_B2CLT_activos,fa6832663951,https://app.mode.com/editor/ecooltra706/reports/fa6832663951,Data Science,ecooltra706,kseniya,2021-03-24T14:40:28.515Z,1907,no,8,1,pure,from definition,from definition,si
Specific Retention Campaigns using credit_title or promo_code,d6cdc57fb25d,https://app.mode.com/editor/ecooltra706/reports/d6cdc57fb25d,Cohorts,ecooltra706,lluiscarreras,2021-03-25T14:23:27.166Z,1906,no,3,1,pure,EF_postgresql,EF_postgresql,no
[GROUP] Monthly Revenue Progress (old version),7c18e1523485,https://app.mode.com/editor/ecooltra706/reports/7c18e1523485,Data Science,ecooltra706,lluiscarreras,2021-03-28T07:49:57.612Z,1904,no,10,2,mixed,,EF_postgresql; from definition,si
Cálculo% retención mensual y por trimestres,86cf2162d7d9,https://app.mode.com/editor/ecooltra706/reports/86cf2162d7d9,Data Science,ecooltra706,kseniya,2021-03-29T08:33:21.267Z,1903,no,7,1,pure,EF_postgresql,EF_postgresql,no
Clone of Monthly P&L per Business Line (Ebidta before HQ),b493e5e705af,https://app.mode.com/editor/ecooltra706/reports/b493e5e705af,Personal,ecooltra706,lluiscarreras,2021-04-06T08:40:35.522Z,1895,no,7,1,pure,from definition,from definition,si
INFO: Respuesta Ayt. Valencia APR Ciutat Vella Nord,a0b275f4f2fc,https://app.mode.com/editor/ecooltra706/reports/a0b275f4f2fc,Data Science,ecooltra706,lluiscarreras,2021-04-13T17:16:01.156Z,1887,no,5,2,mixed,,EF_postgresql; from definition,si
Deleted credits,71d2b10f369c,https://app.mode.com/editor/ecooltra706/reports/71d2b10f369c,++ aSlack reports,ecooltra706,lluiscarreras,2021-05-13T12:06:23.503Z,1858,no,4,1,pure,EF_postgresql,EF_postgresql,no
Weekend users,d6247ee0df58,https://app.mode.com/editor/ecooltra706/reports/d6247ee0df58,Data Science,ecooltra706,lluiscarreras,2021-05-31T07:13:52.116Z,1840,no,2,1,pure,EF_postgresql,EF_postgresql,no
[COHORT] Average Net Rental Revenue per returning rider (PG),4e76fe6e83d7,https://app.mode.com/editor/ecooltra706/reports/4e76fe6e83d7,Cohorts,ecooltra706,lluiscarreras,2021-06-28T09:09:04.702Z,1812,no,8,1,pure,EF_postgresql,EF_postgresql,no
[COHORT] Average Net Rental Revenue per User Total Cohort (PG),415026f01e59,https://app.mode.com/editor/ecooltra706/reports/415026f01e59,Cohorts,ecooltra706,lluiscarreras,2021-06-28T09:06:44.420Z,1812,no,8,1,pure,EF_postgresql,EF_postgresql,no
[COHORT] Monthly Average Rentals by Returning Riders (PG),8bd4b475c651,https://app.mode.com/editor/ecooltra706/reports/8bd4b475c651,Cohorts,ecooltra706,lluiscarreras,2021-06-28T09:04:14.648Z,1812,no,8,1,pure,EF_postgresql,EF_postgresql,no
[COHORT] Monthly Average Rentals by Total Cohort (PG),d62631e43c62,https://app.mode.com/editor/ecooltra706/reports/d62631e43c62,Cohorts,ecooltra706,lluiscarreras,2021-06-28T09:01:50.962Z,1812,no,8,1,pure,EF_postgresql,EF_postgresql,no
[COHORT] Monthly Total Rentals (PG),94d88b2b3e7e,https://app.mode.com/editor/ecooltra706/reports/94d88b2b3e7e,Cohorts,ecooltra706,lluiscarreras,2021-06-28T08:59:04.135Z,1812,no,8,1,pure,EF_postgresql,EF_postgresql,no
[COHORT] Net Rental Revenue Total (PG),401320be395b,https://app.mode.com/editor/ecooltra706/reports/401320be395b,Cohorts,ecooltra706,lluiscarreras,2021-06-28T08:56:15.865Z,1812,no,8,1,pure,EF_postgresql,EF_postgresql,no
[COHORT] Monthly Retention of Packers,880afce8c646,https://app.mode.com/editor/ecooltra706/reports/880afce8c646,Cohorts,ecooltra706,lluiscarreras,2021-06-28T08:50:29.070Z,1812,no,18,1,pure,EF_postgresql,EF_postgresql,no
Users con contry_code = FR,796ea93f00c0,https://app.mode.com/editor/ecooltra706/reports/796ea93f00c0,Personal,ecooltra706,lluiscarreras,2021-06-28T10:23:55.045Z,1812,no,1,1,pure,EF_postgresql,EF_postgresql,no
Unprocessed Problem Reports (Cooltra Prime),db03fc70ac61,https://app.mode.com/editor/ecooltra706/reports/db03fc70ac61,++ aSlack reports,ecooltra706,lluiscarreras,2021-07-06T06:18:25.276Z,1804,no,5,1,pure,EF_PRIME,EF_PRIME,no
LISBOA30 - Control Report,ac5cf03781b8,https://app.mode.com/editor/ecooltra706/reports/ac5cf03781b8,++ CS team,ecooltra706,omarimon,2021-07-08T10:12:23.932Z,1802,no,2,1,pure,EF_postgresql_backup,EF_postgresql_backup,no
Users_Paris,748fc3f201ed,https://app.mode.com/editor/ecooltra706/reports/748fc3f201ed,Data Science,ecooltra706,kseniya,2021-07-15T13:19:32.118Z,1794,no,2,1,pure,EF_postgresql,EF_postgresql,no
Unapproved users (Cooltra Prime),1bab33225223,https://app.mode.com/editor/ecooltra706/reports/1bab33225223,++ aSlack reports,ecooltra706,lluiscarreras,2021-07-17T02:29:20.306Z,1793,no,7,1,pure,EF_PRIME,EF_PRIME,no
,456980e00f2b,https://app.mode.com/editor/ecooltra706/reports/456980e00f2b,Personal,ecooltra706,lluiscarreras,2021-07-19T07:49:47.433Z,1791,no,3,1,pure,EF_postgresql,EF_postgresql,no
Find users with rentals in areas,dedc8e3bfd15,https://app.mode.com/editor/ecooltra706/reports/dedc8e3bfd15,Data Science,ecooltra706,lluiscarreras,2021-07-20T14:31:57.564Z,1789,no,8,2,mixed,,EF_PRIME; EF_postgresql,no
Volumen de usuarios inactivos,f846cce9ce10,https://app.mode.com/editor/ecooltra706/reports/f846cce9ce10,Data Science,ecooltra706,lluiscarreras,2021-09-01T11:30:31.938Z,1747,no,1,1,pure,EF_postgresql,EF_postgresql,no
Rentals in L'H,36f25c14637b,https://app.mode.com/editor/ecooltra706/reports/36f25c14637b,++ City Managers,ecooltra706,lluiscarreras,2021-09-15T11:15:25.674Z,1733,no,2,1,pure,EF_postgresql,EF_postgresql,no
Promo Code Misuse,c52833136b5d,https://app.mode.com/editor/ecooltra706/reports/c52833136b5d,1-Coses meves,ecooltra706,omarimon,2021-09-16T12:11:51.934Z,1732,no,2,1,pure,EF_postgresql,EF_postgresql,no
INVOICING PROCESS HOURLY FOLLOW UP,3240c0bed540,https://app.mode.com/editor/ecooltra706/reports/3240c0bed540,Deprecated reports,ecooltra706,omarimon,2021-09-30T10:47:52.349Z,1718,no,6,1,pure,EF_postgresql,EF_postgresql,no
Proves amb PENDING TO BE INVOICED,fa019e3b9c47,https://app.mode.com/editor/ecooltra706/reports/fa019e3b9c47,Personal,ecooltra706,lluiscarreras,2021-10-04T09:17:17.394Z,1714,no,5,1,pure,EF_postgresql,EF_postgresql,no
Usage per age and gender,b3e95e76c7b7,https://app.mode.com/editor/ecooltra706/reports/b3e95e76c7b7,++ City Managers,ecooltra706,lluiscarreras,2021-10-06T09:59:44.017Z,1712,no,2,1,pure,EF_postgresql,EF_postgresql,no
App opens and rentals analysis in an area,e4f8ef5377a2,https://app.mode.com/editor/ecooltra706/reports/e4f8ef5377a2,++ City Managers,ecooltra706,lluiscarreras,2021-10-06T11:04:35.931Z,1712,no,4,1,pure,EF_postgresql,EF_postgresql,no
B2C Revenue by categories,abdd68fd790d,https://app.mode.com/editor/ecooltra706/reports/abdd68fd790d,Personal,ecooltra706,lluiscarreras,2021-10-19T07:23:59.530Z,1699,no,9,1,pure,from definition,from definition,si
Unprocessed invoices,8fdeebb49336,https://app.mode.com/editor/ecooltra706/reports/8fdeebb49336,++ aSlack reports,ecooltra706,omarimon,2021-10-22T08:20:11.689Z,1696,no,1,1,pure,EF_postgresql,EF_postgresql,no
,97fcb95f0639,https://app.mode.com/editor/ecooltra706/reports/97fcb95f0639,Personal,ecooltra706,lluiscarreras,2021-10-22T08:12:08.919Z,1696,no,2,1,pure,EF_postgresql,EF_postgresql,no
Info para unpaid en Lisboa en octubre 2021,a5c407fa0a6b,https://app.mode.com/editor/ecooltra706/reports/a5c407fa0a6b,DATA,ecooltra706,lluiscarreras,2021-11-03T17:40:00.714Z,1683,no,2,1,pure,EF_postgresql,EF_postgresql,no
Hypothesis validation for Lisbon fleet,3106fc512bd1,https://app.mode.com/editor/ecooltra706/reports/3106fc512bd1,++ City Managers,ecooltra706,lluiscarreras,2021-11-04T17:20:10.376Z,1682,no,5,1,pure,EF_postgresql,EF_postgresql,no
Rebranded vehicles,5251cd7b2601,https://app.mode.com/editor/ecooltra706/reports/5251cd7b2601,++ City Managers,ecooltra706,lluiscarreras,2021-11-08T11:43:48.816Z,1679,no,1,1,pure,EF_postgresql,EF_postgresql,no
Pruebas para detectar vehículos con vehicle_kind_name = null,7c6048a94054,https://app.mode.com/editor/ecooltra706/reports/7c6048a94054,DATA,ecooltra706,lluiscarreras,2021-11-08T08:41:10.002Z,1679,no,3,1,pure,EF_postgresql,EF_postgresql,no
[ALL] Total Riders,e2b2232961dc,https://app.mode.com/editor/ecooltra706/reports/e2b2232961dc,++ aSlack reports,ecooltra706,omarimon,2021-11-30T18:00:44.528Z,1656,no,1,1,pure,EF_postgresql,EF_postgresql,no
Report ecológico,6907543e21de,https://app.mode.com/editor/ecooltra706/reports/6907543e21de,Data Science,ecooltra706,kseniya,2021-12-30T08:31:56.636Z,1627,no,4,1,pure,EF_postgresql,EF_postgresql,no
Proves Home Alone,d39ad97ff2e1,https://app.mode.com/editor/ecooltra706/reports/d39ad97ff2e1,Personal,ecooltra706,susanna_mendoza,2022-01-24T17:30:42.967Z,1601,no,1,1,pure,EF_postgresql,EF_postgresql,no
Pricing ABC test,0ffb07c0b8e4,https://app.mode.com/editor/ecooltra706/reports/0ffb07c0b8e4,Personal,ecooltra706,lluiscarreras,2022-01-27T16:30:50.374Z,1598,no,19,2,mixed,,EF_postgresql; from definition,si
CODICE SCONTO promocode report,78a4ed39e006,https://app.mode.com/editor/ecooltra706/reports/78a4ed39e006,Personal,ecooltra706,lluiscarreras,2022-01-31T15:28:09.348Z,1594,no,12,2,mixed,,EF_postgresql; from definition,si
Gender Bias,bd5c8d93db86,https://app.mode.com/editor/ecooltra706/reports/bd5c8d93db86,Personal,ecooltra706,susanna_mendoza,2022-02-07T10:25:45.420Z,1588,no,5,1,pure,EF_postgresql,EF_postgresql,no
test_cities_0222,77062abfe47d,https://app.mode.com/editor/ecooltra706/reports/77062abfe47d,Personal,ecooltra706,susanna_mendoza,2022-02-08T12:49:50.209Z,1586,no,4,1,pure,EF_postgresql,EF_postgresql,no
Club employes promocode report,f9f45928757a,https://app.mode.com/editor/ecooltra706/reports/f9f45928757a,Personal,ecooltra706,lluiscarreras,2022-02-09T08:28:18.452Z,1586,no,16,1,pure,EF_postgresql,EF_postgresql,no
,38d14993074f,https://app.mode.com/editor/ecooltra706/reports/38d14993074f,Personal,ecooltra706,susanna_mendoza,2022-02-10T15:51:17.036Z,1584,no,1,1,pure,EF_postgresql,EF_postgresql,no
Practica 10-11 febrer,01a8e45e8daa,https://app.mode.com/editor/ecooltra706/reports/01a8e45e8daa,Personal,ecooltra706,susanna_mendoza,2022-02-14T08:59:44.087Z,1581,no,4,1,pure,EF_postgresql,EF_postgresql,no
[MKT] Pricing ABC test,a2060cc994b1,https://app.mode.com/editor/ecooltra706/reports/a2060cc994b1,Deprecated reports,ecooltra706,lluiscarreras,2022-02-16T07:13:33.439Z,1579,no,8,1,pure,EF_postgresql,EF_postgresql,no
Clone of [MKT] Pricing ABC test - 2022,9c4c51f98dd1,https://app.mode.com/editor/ecooltra706/reports/9c4c51f98dd1,Personal,ecooltra706,susanna_mendoza,2022-02-16T09:58:02.768Z,1579,no,8,1,pure,EF_postgresql,EF_postgresql,no
Single User Queries,05a693df10a9,https://app.mode.com/editor/ecooltra706/reports/05a693df10a9,Personal,ecooltra706,susanna_mendoza,2022-02-16T08:35:55.996Z,1579,no,3,1,pure,EF_postgresql,EF_postgresql,no
Testers & Versions 4.6,aecebcc1ca26,https://app.mode.com/editor/ecooltra706/reports/aecebcc1ca26,Personal,ecooltra706,susanna_mendoza,2022-02-18T10:07:38.496Z,1577,no,10,1,pure,EF_postgresql,EF_postgresql,no
